Brand, Product Name, Shipping,
ASRock,ASRock Phantom Gaming X Radeon VII DirectX 12 Radeon VII 16G Video Card,https://www.newegg.com/asrock-radeon-vii-16g/p/N82E16814930012?Item=N82E16814930012,699.99
GIGABYTE,GIGABYTE Geforce RTX 2060 OC GG Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD  Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060oc-6gd/p/N82E16814932115?Item=N82E16814932115,359.99
XFX,XFX Radeon RX 5700 XT DirectX 12 RX-57XT8MFD6 Video Card,https://www.newegg.com/xfx-radeon-rx-5700-xt-rx-57xt8mfd6/p/N82E16814150821?Item=N82E16814150821,399.99
XFX,XFX Radeon RX 5700 DirectX 12 RX-57XL8MFG6 Video Card,https://www.newegg.com/xfx-radeon-rx-5700-rx-57xl8mfg6/p/N82E16814150822?Item=N82E16814150822,349.99
PowerColor,PowerColor AMD Radeon RX 5700 8GB GDDR6 AXRX 5700 8GBD6-M3DH,https://www.newegg.com/powercolor-radeon-rx-5700-axrx-5700-8gbd6-m3dh/p/N82E16814131749?Item=N82E16814131749,349.99
GIGABYTE,GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2070-gv-n2070wf2-8gd/p/N82E16814932160?Item=N82E16814932160,479.99
Sapphire Tech,Sapphire Radeon PULSE RX 590 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate,https://www.newegg.com/sapphire-radeon-rx-590-100415p8gl/p/N82E16814202333?Item=N82E16814202333,194.99
PowerColor,PowerColor RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC Video Card,https://www.newegg.com/powercolor-radeon-rx-580-axrx-580-8gbd5-3dhdv2-oc/p/N82E16814131720?Item=N82E16814131720,179.99
ZOTAC,ZOTAC GAMING GeForce GTX 1660 Ti 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| ZT-T16610F-10L,https://www.newegg.com/zotac-geforce-gtx-1660-ti-zt-t16610f-10l/p/N82E16814500462?Item=N82E16814500462,279.99
XFX,XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+| 8GB 256-bit GDDR5| DX12 VR Ready| Double Dissipation| Dual BIOS| PCI-E AMD Graphics Card (RX-580P828D6),https://www.newegg.com/xfx-radeon-rx-580-rx-580p828d6/p/N82E16814150794?Item=N82E16814150794,209.99
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card,https://www.newegg.com/gigabyte-radeon-rx-570-gv-rx570gaming-4gd/p/N82E16814125966?Item=N82E16814125966,149.99
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-ventus-xs-6g-oc/p/N82E16814137396?Item=N82E16814137396,349.99
